study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-111,Space biology research study on Rattus norvegicus - GLDS-111,2024,,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-111,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-112,Space biology research study on Mus musculus - GLDS-112,2015,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1180/example.glds-112,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-112,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-113,Space biology research study on Arabidopsis thaliana - GLDS-113,2016,ISS Expedition 50,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-113,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-114,Space biology research study on Drosophila melanogaster - GLDS-114,2017,ISS Expedition 60,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1182/example.glds-114,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-114,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-115,Space biology research study on Caenorhabditis elegans - GLDS-115,2018,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-115,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-116,Space biology research study on Homo sapiens - GLDS-116,2019,,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1184/example.glds-116,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-116,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-117,Space biology research study on Rattus norvegicus - GLDS-117,2020,ISS,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-117,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-118,Space biology research study on Mus musculus - GLDS-118,2021,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1186/example.glds-118,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-118,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-119,Space biology research study on Arabidopsis thaliana - GLDS-119,2022,ISS Expedition 60,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-119,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-120,Space biology research study on Drosophila melanogaster - GLDS-120,2023,Space Shuttle,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1188/example.glds-120,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-120,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-121,Space biology research study on Caenorhabditis elegans - GLDS-121,2024,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-121,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-122,Space biology research study on Homo sapiens - GLDS-122,2015,ISS,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1190/example.glds-122,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-122,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-123,Space biology research study on Rattus norvegicus - GLDS-123,2016,ISS Expedition 50,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-123,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-124,Space biology research study on Mus musculus - GLDS-124,2017,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1192/example.glds-124,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-124,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-125,Space biology research study on Arabidopsis thaliana - GLDS-125,2018,Space Shuttle,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-125,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-126,Space biology research study on Drosophila melanogaster - GLDS-126,2019,,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1194/example.glds-126,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-126,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-127,Space biology research study on Caenorhabditis elegans - GLDS-127,2020,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-127,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-128,Space biology research study on Homo sapiens - GLDS-128,2021,ISS Expedition 50,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1196/example.glds-128,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-128,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-129,Space biology research study on Rattus norvegicus - GLDS-129,2022,ISS Expedition 60,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-129,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-130,Space biology research study on Mus musculus - GLDS-130,2023,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1198/example.glds-130,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-130,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
